Hello!	Nǐ hǎo!	你好！
Do you like my friend?	Nǐ xǐhuan wǒ péngyou ma?	你喜欢我朋友吗？
My friend did not come.	Wǒde péngyou méi lái.	我的朋友没来。
What would your friend like to do?	Nǐ péngyǒu xiǎng zuò shénme?	你朋友想做什么？
We're friends.	Wǒmen shì péngyou.	我们是朋友。
They are all my friends.	Tāmen dōu shì wǒ de péngyou.	他们都是我的朋友。
This is my home.	Zhè shì wǒ jiā.	这是我家。
Why?	Wèishénme?	为什么？
Why did they go?	Tāmen wèishénme qù?	他们为什么去？
Why did she go?	Tā wèishénme qù?	她为什么去？
Why don't you come visit us?	wèishénme nǐ bù lái kàn wǒmen? (also ni first)<div>(no mei... mei is like you said you'd come but didn't)</div><div>(kan is long timeframe no visit, jian ok for short timeframe no visit)</div>	为什么你不来看我们？
This is my book.	zhè shì wǒ de shū .	这是我的书。
He likes this book.	Tā xǐhuan zhè běn shū.	他喜欢这本书。
I don't like this book.	Wǒ bù xǐhuan zhèběn shū.	我不喜欢这本书。
I gave you a book.	wǒ gěi le nǐ yī běn shū .	我给了你一本书。
That book is mine.	Nà běn shū shì wǒ de.	那本书是我的。
Let me think about it.	Ràng wǒ xiǎng yī xiǎng.	让我想一想。
Please let me through	Qǐng ràng yī ràng!	请让一让！
Why did you do that?	Nǐ wèishénme nàme zuò?	你为什么那么做？
Do you like school?	Nǐ xǐhuan xuéxiào ma?	你喜欢学校吗？
I am at school.	Wǒ zài xuéxiào.	我在学校。
The students don't like school.	Xuéshēng bù xǐhuan xuéxiào.	学生不喜欢学校。
I'm going to school.	Wǒ yào qù xuéxiào.	我要去学校。
Where is the school?	Xuéxiào zài nǎli?	学校在哪里？
I'm a teacher.	Wǒ shì lǎoshī.	我是老师。
She is our teacher.	Tā shì wǒmen de lǎoshī.	她是我们的老师。
They are all good teachers.	tāmen dōu shì hǎo lǎoshī .	他们都是好老师。
Are you going to go see the teacher?	Nǐ yào qù kàn lǎoshī ma?	你要去看老师吗？
He is going to see the teacher.	Tā yào qù kàn lǎoshī.	他要去看老师。
I am a teacher.	Wǒ shì lǎoshī.	我是老师。
The teacher is going to school.	Lǎoshī yào qù xuéxiào.	老师要去学校。
Where is the teacher going?	Lǎoshī qù nǎli?	老师去哪里？
Listen to the teacher.	Tīng lǎoshī shuō.	听老师说。
He's an American.	Tā shì Měiguó rén.	他是美国人。
I am an American.	Wǒ shì Měiguórén.	我是美国人。
He is American. <br /> He is an American.	tā shì Měiguórén .	他是美国人。
He really likes the United States.	Tā hěn xǐhuan Měiguó.	他很喜欢美国。
Is the United States big?	Měiguó dà ma?	美国大吗？
I'm from America.	Wǒ cóng Měiguó lái.	我从美国来。
This is America.	Zhèli shì Měiguó.	这里是美国。
Where does she live?	Tā zhùzài​ nǎli?	她住在哪里？
Where does your friend live?	Nǐ de péngyou zhù nǎli?	你的朋友住哪里？
We're classmates.	wǒmen shì tóngxué .	我们是同学。
He doesn't like his classmates.	Tā bù xǐhuan tā de tóngxuémen.	他不喜欢他的同学们。
Are they all the same?	tāmen dōu shì yīyàng de ma?	他们都是一样的吗？
She loved her children alike.	tā de háizi tā dōu yīyàng ài .	她的孩子她都一样爱。
Where is this place?	Zhèli shì nǎli a?	这里是哪里啊？
Please come with me.	Qǐng gēn wǒ lái.	请跟我来。
Do whatever he tells you.	tā gēn nǐ shuō shénme, nǐ jiù zuò shénme .	他跟你说什么，你就做什么。
Give the book to whomever wants it.	zhè běn shū shéi xiǎng yào jiù gěi shéi ba .	这本书谁想要就给谁吧。
As soon as she comes, we will begin.	tā yī dào, wǒmen jiù kāishǐ .	她一到，我们就开始。
Let's go.	zǒu ba .	走吧。
Go when you want, ok?	nǐ xiǎng zǒu de shíhou jiù zǒu ba.	你想走的时候就走吧。
When you go, we'll all miss you! (for sure)	nǐ zǒu le, wǒmen dōu huì xiǎng nǐ de.	你走了，我们都会想你的。
I work with him.	Wǒ gēn tā yīqǐ gōngzuò.	我跟他一起工作。
I also want to.<br />Then go with us!	Wǒ yě xiǎng.<br />Nà gēn wǒmen yī qǐ qù ba!	A我也想。<br/>B那跟我们一起去吧！
Sit down, Kate.	Kate,  zuò ba .	Kate,坐吧。
"Who is it? ""It's your mother."""	shì shéi? shì nǐ māma.	“是谁？”“是你妈妈。”
It's ten o'clock now.	Xiànzài shì shí diǎn.	现在是10点。
Are you a little better now?	nǐ xiànzài hǎo diǎn le ma?	你现在好点了吗？
What time is it now?	Xiànzài shì jǐ diǎn? (also Xiànzài jǐ diǎn le?)	现在是几点？
What time is it now?	Xiànzài jǐ diǎn le?	现在几点了？
(Right now) It's three.	Xiànzài sān diǎn.	现在三点。
He has three kids.	Tā yǒu sānge háizi.	他有三个孩子。
It is already eleven.	yǐjīng shì 11 diǎn le. (also no shi)	已经是11点了。
They have two children.	Tāmen yǒu liǎng gè háizi.	他们有两个孩子。
It's already five o'clock.	Yǐjīng wǔ diǎn le. (also shi)	已经五点了。
(Right now) It's five.	Xiànzài shì wǔ diǎn.	现在是五点。
Good evening.	wǎnshang hǎo .	晚上好。
Who is she speaking with?	Tā zài gēn shéi shuōhuà?	她在跟谁说话？
Who is he speaking with?	Tā zài gēn shéi shuōhuà?	他在跟谁说话？
Beijing is a big place.	Běijīng shì gè dà de dìfang.	北京是个大的地方。
Where is he from?	Tā shì shénme dìfang rén?	他是什么地方人？
Are you Chinese?	Nǐ shì Zhōngguórén ma?	你是中国人吗？
The teacher is Chinese.	Lǎoshī shì Zhōngguórén.	老师是中国人。
Are you Chinese? (polite)	Nín shì Zhōngguórén ma?	您是中国人吗？
Are you studying? (polite)	nín xuéxí ma ?	您学习吗？
She is with her family.	Tā gēn jiārén zài yīqǐ.	她跟家人在一起。
What have you seen?	Nǐ kànjian shénme le?	你看见什么了？
I am at home.	Wǒ zài jiā.	我在家。
Is she at home?	Tā zài jiā ma? (also jiali)	她在家吗？
I am going to see a movie.	Wǒ yào qù kàn diànyǐng.	我要去看电影。
I want to go see a movie.	Wǒ xiǎng qù kàn diànyǐng.	我想去看电影。
Is it a good movie?	Diànyǐng hǎo kàn ma?	电影好看吗？
I must go.	Wǒ bìxū zǒu le.	我必须走了。
We must go to school!	wǒmen bìxū qù xuéxiào le.	我们必须去学校了。
Are you ready?	Zhǔnbèi hǎo le ma?	准备好了吗？
Are you ready?	Zhǔnbèi hǎo le ma?	准备好了吗？
I'm headed to school. (as in, where ya headed?)	Wǒ wǎng xuéxiào qù. (also xiang4)	我往学校去。
Each of you say one sentence.	Yī rén shuō yī jù.	一人说一句。
I'd like to say a few words to you.	Wǒ xiǎng duì nǐ shuō jǐ jù huà. (also gen3, gei3) (also jiang3)	我想对你说几句话。
My classmate doesn't have any money.	Wǒ de tóngxué méi yǒu qián.	我的同学没有钱。
There is a lot of money here.	Zhè yǒu hěn duō qián.	这有很多钱。
She has a lot to do.	tā yǒu hěn duō shì yào zuò. (also gai zuo de)	她有很多事要做。
In the end, she did not come.	zuìhòu tā méiyǒu lái .	最后她没有来。
What about at home?<br />I don't have one at home.	Jiālǐ yǒu ma?<br />Méi yǒu.	A家里有吗?<br/>B没有。
Is there anything I should do?	yǒu shénme shì shì wǒ gāi zuò de ma ?	有什么事是我该做的吗？
He told me when I should say yes.	tā gàosu wǒ shénme shíhou gāi shuō shì .	他告诉我什么时候该说是。
Can you tell me what this is?	nǐ néng gàosu wǒ zhè shì shénme ma ?	你能告诉我这是什么吗？
When can you tell me?	Shénme shíhou kěyǐ gàosu wǒ? (ni ss neng gaosu wo)	什么时候可以告诉我？
I think your work is all right.	wǒ juéde nǐ de gōngzuò kěyǐ .	我觉得你的工作可以。
I'll tell you something.	Wǒ gàosu nǐ yī jiàn shì.	我告诉你一件事。
I think what you say is true.	wǒ juéde nǐ shuō de shì zhēn de .	我觉得你说的是真的。
Of course it's okay.	Dāngrán kěyǐ.	当然可以！
I spent a lot of money today.	Wǒ jīntiān huāle hěn duō qián.	我今天花了很多钱。
I'm back.	Wǒ huílai le.	我回来了。
I just want to know what time you will come back.	Wǒ zhǐ xiǎng zhīdào nǐ shénme shíhou huílai.	我只想知道你什么时候回来。
I want to say a few words.	Wǒ xiǎng jiǎng jǐ jù huà. (also shuo, informal)	我想讲几句话。
Is your work difficult?	Nǐde gōngzuò nán ma?	你的工作难吗？
My work is not difficult.	Wǒde gōngzuò bù nán.	我的工作不难。
His work is not difficult.	Tāde gōngzuò bù nán.	他的工作不难。
Which is your book?	nǎ běn shì nǐ de shū ? (also na ben shu shi ni de?)	哪本是你的书？
I understand her.	Wǒ liǎojiě tā.	我了解她。
He is out now.	tā xiànzài chūqù le .	他现在出去了。
I've heard that you are looking for work.	Wǒ tīngshuō nǐ yào zhǎo gōngzuò.	我听说你要找工作。
I am listening to you.	Wǒ zhèngzài tīng nǐ shuō.	我正在听你说。
They're reading a book.	Tāmen zài dú yī běn shū.	他们在读一本书。
I find this book is very difficult to read. <br /> I found it difficult to read the book.	wǒ fāxiàn dú zhè běn shū hěn nán .	我发现读这本书很难。
They're taking an exam.	Tāmen zài kǎoshì.	他们在考试。
The examination has begun.	Kǎoshì kāishǐ le.	考试开始了。
(Right now) It's half past three.	Xiànzài sān diǎn bàn.	现在三点半。
(Right now) It's half past four.	Xiànzài shì sì diǎn bàn.	现在是四点半。
(Right now) It's six.	Xiànzài shì liù diǎn.	现在是六点。
What do you think should be done about it?	nǐ juéde duìcǐ gāi zuò shénme ?	你觉得对此该做什么？
What do you want to drink?	Nǐ yào hē shénme?	你要喝什么？
Would you like something to drink?	nǐ xiǎng yào shénme hē de ma ?	你想要什么喝的吗？
There's nothing I want to drink.	wǒ shénme dōu bù xiǎng hē .	我什么都不想喝。
I can't go, nor do I want to.	wǒ qù bù liǎo, yě bù xiǎng qù .	我去不了，也不想去。
&quot;Why aren't you going?&quot; &quot;Because I don't want to.&quot;	&quot; nǐ wèishénme bù qù ?&quot;&quot; yīnwèi wǒ bù xiǎng qù .&quot;	&quot;你为什么不去？&quot;&quot;因为我不想去。&quot;
I would like to drink something.	Wǒ xiǎng hē dōngxi.	我想喝东西。
She would like to drink a little something.	Tā xiǎng hē yī diǎn dōngxi.	她想喝一点东西。
I would like to eat a little something.	Wǒ xiǎng chī yī diǎn dōngxi.	我想吃一点东西。
I am a man. <br /> I'm a man.	wǒ shì ge nánrén .	我是个男人。
A man should work.	nánrén yīnggāi gōngzuò .	男人应该工作。
He should have already arrived by now.	xiànzài tā yīnggāi yǐjīng dào le. (also ta xianzai)	现在他应该已经到了。
This is the time he should arrive.	tā zhè gè shíhou gāi dào le. (also zhege shihou ta....)	他这个时候该到了。
It can't be!	zhè bù kěnéng!	这不可能！
You had better go now.	nǐ zuì hǎo xiànzài jiù zǒu. (also xianzai zui hao)	你最好现在就走。
Is your university big?	Nǐde dàxué dà ma?	你的大学大吗？
When will he go to university?	Tā shénme shíhòu shàng dàxué?	他什么时候上大学？
We saw the child get on the bus.	wǒmen kànjiàn háizi shàng le chē .	我们看见孩子上了车。
"Are these cars yours? ""Yes, they are mine."" <br /> ""Are these your cars?"" ""Yes, they are."""	"zhè xiē chē shì nǐ de ma ?"" shì de , shì wǒ de ."	“这些车是你的吗？”“是的，是我的。”
Is your school in this city?	nǐ de xuéxiào zài zhè gè chéngshì ma? (also zhe zuo4)	你的学校在这个城市吗？
This has no effect on him.	zhè duì tā méiyǒu yǐngxiǎng .	这对他没有影响。
I don't love you anymore. <br /> I don't like you anymore.	wǒ bù zài ài nǐ le .	我不再爱你了。
He's my son.	Tā shì wǒ de érzi.	他是我的儿子。
This is my son.	Zhè shì wǒ de érzi.	这是我的儿子。
My son is three years old.	Wǒ érzi sānsuì le. (also you3)	我儿子三岁了。
An opportunity presented itself.	Jīhuì lái le.	机会来了。
I've heard that you are a history teacher.	Wǒ tīng shuō nǐ shì lìshǐ lǎoshī.	我听说你是历史老师。
Why would you like to learn about Chinese history?	Nǐ wèishénme xiǎng xué Zhōngguó lìshǐ?	你为什么想学中国历史？
Will you study them?<br />Of course I will study them.	Nǐ yào xué ma?<br />Dāngrán yào xué.	A你要学吗?<br/>B当然要学。
What time do the students start school?	Xuéshengmen jǐdiǎn shàngxué?	学生们几点上学？
What time do you go to school?	Nǐ jǐdiǎn shàngxué?	你几点上学？
My students learn things quickly.	Wǒ de xuésheng xué dōngxi kuài.	我的学生学东西快。
Speaking English is not difficult.	Shuō Yīngyǔ bù nán.	说英语不难。
English is difficult to learn.	Xué Yīngyǔ hěn nán.	学英语很难。
Do you know how to speak English?	Nǐ huì shuō Yīngyǔ ma?	你会说英语吗？
The students would like to study English.	Xuéshengmen xiǎng xué Yīngyǔ.	学生们想学英语。
How do you study English?	Nǐ shì zěnme xuéxí Yīngyǔ de?	你是怎么学习英语的？
Have you begun studying English?	nǐ kāishǐ xuéxí yīngyǔ le ma?	你开始学习英语了吗？
Where can I study English?	Nǎli kěyǐ xuéxí Yīngyǔ?	哪里可以学习英语？
Why don't you like to study English?	Nǐ wèishénme bù xǐhuan xuéxí Yīngyǔ?	你为什么不喜欢学习英语？
I have been studying English for four years.	wǒ xué yīngyǔ xué le 4 nián le. (also no xuele)	我学英语学了4年了。
Where can I buy English-language books?	Nǎli kěyǐ mǎi Yīngyǔ shū?	哪里可以买英语书？
Writing English is not difficult.	Xiě Yīngyǔ bù nán.	写英语不难。
From now on I will speak English.	Cóng xiànzài qǐ wǒ jiǎng Yīngyǔ.	从现在起我讲英语。
I can't afford to buy that.	wǒ mǎibùqǐ nà ge .	我买不起那个。
Say it in English.	yòng yīngyǔ shuō .	用英语说。
He is not what he used to be.	tā bù zài shì yǐqián de nà ge tā le . (also no nage)	他不再是以前的那个他了。
He can hardly write his name.	tā hěn nán xiě tā de míngzi .	他很难写他的名字。
What's your name?	Nǐ jiào shénme míngzì?	你叫什么名字？
He left home and went to school.	Tā líkāi jiā qù xuéxiào. (also le)	他离开家去学校。
He and I are the same height.	tā hé wǒ yīyàng gāo .	他和我一样高。
The mama is playing with her children.	Māma hé háizimen yīqǐ wánr. (also gen1)	妈妈和孩子们一起玩。
You're one meter tall.	Nǐ yǒu yī mǐ gāo le.	你有一米高了。
He and I are the same age.	tā hé wǒ tóng suì .	他和我同岁。
He goes to school to study every day.	tā měi tiān qù xuéxiào xuéxí .	他每天去学校学习。
They must work 8 hours each day.	tāmen měi tiān bìxū gōngzuò 8 xiǎoshí .	他们每天必须工作8小时。
I know all of them.	Tāmen wǒ dōu rènshi.	他们我都认识。
I have known her for two years.	wǒ rènshi tā liǎng nián le. (also ta, wo renshi ...)	我认识她两年了。
Oh, I know this man! <br /> Oh! I know the man.	ā , wǒ rènshi zhège nánrén !	啊，我认识这个男人！
He knows a lot of people. <br /> He has a lot of acquaintances.	tā rènshi hěn duō rén .	他认识很多人。
How do you know him?	Nǐ zěnme rènshi tā de?	你怎么认识他的？
Do you know his teacher?	Nǐ rènshi tā de lǎoshī ma?	你认识他的老师吗？
Do you know him?	Nǐ rènshi tā ma?	你认识他吗？
I know him.	Wǒ rènshi tā.	我认识他。
Do you know my student?	Nǐ rènshi wǒde xuéshēng ma?	你认识我的学生吗？
Do you know him?	Nǐ rènshi tā ma?	你认识他吗？
How do you know him?<br />He is my classmate.	Nǐ zěnme rènshi tā?<br />Tā shì wǒ de tóngxué.	A你怎么认识他?<br/>B他是我的同学。
Today, I made a new friend.	Jīntiān wǒ rènshi le yīge xīn péngyou.	今天我认识了一个新朋友。
They knew each other from before.	Tāmen běnlái jiù rènshi.	他们本来就认识。
These children are all very cute.	Zhèxiē háizi dōu hěn kěài.	这些孩子都很可爱。
Your father is tall.	nǐ bàba hěn gāo .	你爸爸很高。
Papa is out, but mama is at home.	bàba chūqù le, dàn māma zài jiā .	爸爸出去了，但妈妈在家。
My papa is much taller than me.	Bàba bǐ wǒ gāo hěn duō.	爸爸比我高很多。
Sam is two years younger than Tom.	Sam bǐ Tom xiǎo liǎng suì .	Sam比Tom小两岁。
He used to know her, but now they are no longer friends.	tā guòqù rènshi tā, dàn tāmen xiànzài bù zài shì péngyou le.	他过去认识她，但他们现在不再是朋友了。
I listened, but I heard nothing.	wǒ tīng le, dàn shénme yě méi tīng dào .	我听了，但什么也没听到。
We should do our best.	wǒmen yīnggāi zuòdào zuì hǎo .	我们应该做到最好。
Does Shanghai have a lot of people?	Shànghǎi rén hěn duō ma?	上海人很多吗？
Shanghai has a lot of people.	Shànghǎi rén hěn duō.	上海人很多。
I'm not going to Shanghai.	Wǒ  bù yào qù Shànghǎi.	我不要去上海。
Why will she go back to Shanghai today?	Tā wèishénme jīntiān yào huí Shànghǎi?	她为什么今天要回上海？
We've returned home.	Wǒmen huíjiā le.	我们回家了。
Can I go home?	Wǒ kěyǐ huí jiā ma?	我可以回家吗？
She can return home.	Tā kěyǐ huí jiā.	她可以回家。
What time is he going back home?	Tā jǐdiǎn huí jiā?	他几点回家？
What time are you going home?	Nǐ jǐdiǎn huí jiā?	你几点回家？
What did you answer?	nǐ huídá le shénme ?	你回答了什么？
Do you like music? <br /> Do you love music?	nǐ xǐhuān yīnyuè ma ?	你喜欢音乐吗？
&quot;She likes music.&quot; &quot;So do I.&quot;	&quot; tā xǐhuān yīnyuè .&quot;&quot; wǒ yě shì .&quot;	“她喜欢音乐。”“我也是。”
Is speaking also difficult?<br />Speaking is not too difficult.	Shuō yě nán ma?<br />Shuō bú tài nán.	A说也难吗?<br/>B说不太难。
Believe me he said.	xiāngxìn wǒ . tā shuō .	“相信我。”他说。
He speaks English really well.	Tāde Yīngyǔ shuōde hěn hǎo.	他的英语说得很好。
I don't speak English very well.<br />I also don't speak it very well.	Wǒ Yīngyǔ shuō de bú tài hǎo.<br />Wǒ yě shuō de bú tài hǎo.	A我英语说得不太好。<br/>B我也说得不太好。
You speak English really well.	Nǐ Yīngyǔ shuōde hěn hǎo.	你英语说得很好。
Everyone knows she can speak English well.	dàjiā dōu zhīdào tā de yīngyǔ shuō de hěn hǎo. (also no 1st de)	大家都知道她的英语说得很好。
Does everyone view my decision as correct?	Dàjiā kàn wǒ de juédìng duì ma?	大家看我的决定对吗？
Did you understand?	Nǐ míngbai le ma?	你明白了吗？
I don't understand too well what he's saying.	wǒ bù tài míngbai tā shuō shénme. (also liaojie)	我不太明白他说什么。
At last, I understand.	Wǒ zhōngyú míngbai le.	我终于明白了。
She's my daughter.	Tā shì wǒ de nǚ'ér.	她是我的女儿。
We have two daughters.	wǒmen yǒu liǎng ge nǚér .	我们有两个女儿。
Their daughter is cute.	Tāmen de nǚ'ér hěn kě'ài.	他们的女儿很可爱。
She wants to be a teacher.	Tā xiǎng dāng lǎoshī.	她想当老师。
The music is very good.	Yīnyuè hěn hǎo tīng.<div>(Also ting hao ting) (Ting hao le means you listened well)</div>	音乐很好听。
One of them is doing and the other is watching.	Tāmen yī gè zài zuò, lìng yī gè zài kàn.	他们一个在做，另一个在看。
Do you have any money?	Nǐ yǒu qián ma?	你有钱吗？
We will pass by your house.	Wǒmen huì jīngguò nǐ jiā.	我们会经过你家。
She is everything to him.	tā shì tā de yīqiè .	她是他的一切。
You are everything to me.	nǐ shì wǒ de yīqiè .	你是我的一切。
Everything is ok/no problem.	Yīqiè dōu méiyǒu wèntí.	一切都没有问题。
I hope everything will turn out well in the end.	wǒ xīwàng zuìhòu yīqiè dōuhǎo .	我希望最后一切都好。
All else is fine.	qítā de yīqiè dōuhǎo .	其他的一切都好。
I hope so.	wǒ xīwàng rúcǐ .	我希望如此。
These clothes belong to my daughter.	Zhèxiē yīfu shì nǚ'ér de.	这些衣服是女儿的。
Maria spends a lot of money on clothes.	Maria huā hěn duō qián mǎi yīfu .	Maria花很多钱买衣服。
I like buying clothes.	Wǒ xǐhuan mǎi yīfu.	我喜欢买衣服。
She bought a piece of clothing.	Tā mǎile yī jiàn yīfu.	她买了一件衣服。
How much does this piece of clothing cost?	Zhè jiàn yīfu duōshǎo qián?	这件衣服多少钱？
She has a lot of hobbies.	Tā yǒu hěn duō àihào.	她有很多爱好。
Do you have a lot of hobbies?	Nǐ yǒu hěn duō àihào ma?	你有很多爱好吗？
I'll go pick him up. (for sure)	wǒ huì qù jiē tā de.	我会去接他的。
Answer the phone.	jiē diànhuà .	接电话。
Please answer the phone. (polite)	Qǐng jiē yīxià diànhuà. (also no yixia)	请接一下电话。
Let me introduce my classmate.	Ràng wǒ jièshào yī xià wǒde tóngxué.	让我介绍一下我的同学。
I'll also introduce myself!	Wǒ yě lái jièshào yīxià!	我也来介绍一下!
Please introduce yourself.	Qǐng jièshào nǐ zìjǐ. (also qing ziwo jieshao yixia)	请介绍你自己。
I can't let myself do this kind of thing.	wǒ bù néng ràng zìjǐ zuò zhèyàng de shì. (also wo ziji)	我不能让自己做这样的事。
The problem is we can't use our car that day.	wèntí shì nà tiān wǒmen de chē bù néng yòng. (also bu neng yong women de che)	问题是那天我们的车不能用。
They have their own culture.	tāmen yǒu tāmén zìjǐ de wénhuà .	他们有他们自己的文化。
I can't remember.	Wǒ bú jìde le.	我不记得了。
I remember that he used to work at our company.	Wǒ jìde tā yǐqián zài wǒmen gōngsī gōngzuò.	我记得他以前在我们公司工作。
I'm reading an English book.	Wǒ zài kàn Yīngwén shū. (also du)	我在看英文书。
Finding a job is easy.	Zhǎo gōngzuò hěn róngyì.	找工作很容易。
I do not know how to write Chinese.	Wǒ bù huì xiě Zhōngwén.	我不会写中文。
The problem has been solved.	Wèntí jiějué le.	问题解决了。
She's very talented.	Tā hěn yǒu cáinéng.	她很有才能。
What happened?	Fāshēngle shénme shì? (also le at the end)	发生了什么事？
I wonder what has happened to her.	wǒ xiǎng zhīdào tā fāshēng shénme shì le. (also chu1)	我想知道她发生什么事了。
The students learn things quickly.	Xuéshēng xué dōngxi hěn kuài.	学生学东西很快。
He will be back soon.	tā hěn kuài jiù huì huílai de .	他很快就会回来的。
He will be back very soon.	tā hěn kuài jiù huì huílai. (also de)&nbsp;(also no jiu)	他很快就会回来。
I'll pick you up at your home at five.	wǒ wǔ diǎn dào nǐ jiā lái jiē nǐ . (also no lai)	我五点到你家来接你。
Now in China, everything has changed.	Xiànzài de Zhōngguó, yīqiè dōu biàn le.	现在的中国，一切都变了。
This is your letter.	zhè shì nǐ de xìn.	这是你的信。
He lives very far from us.	Tā gēn wǒmen zhùde hěn yuǎn. (also he/li) (also ta zhu de li wo men hen yuan)	他跟我们住的很远。
The school is far away from my home.	Xuéxiào lí wǒ jiā hěn yuǎn.	学校离我家很远。
My home is very close to the school.	Wǒ jiā lí xuéxiào hěn jìn.	我家离学校很近。
Let me know if there is anything I can do.	ràng wǒ zhīdào shìfǒu yǒu shénme wǒ néng zuò de .	让我知道是否有什么我能做的。
They consider her to be the best teacher in the school.	Tāmen rènwéi tā shì xuéxiào lǐ zuì hǎode lǎoshī.	他们认为她是学校里最好的老师。
Don't you think so?	nǐ bù zhème rènwéi ma?	你不这么认为吗？
If I were you, I would do this, too.	rúguǒ wǒ shì nǐ, wǒ yě huì zhème zuò. (also no hui)	如果我是你，我也会这么做。
If we don't eat, we'll just die.	rúguǒ wǒmen bù chī, jiù huì sǐ.	如果我们不吃，就会死。
I'll come help you. (polite)	Wǒ lái bāng nín.	我来帮您。
I have no friends to help me.	wǒ méi péngyou bāng wǒ .	我没朋友帮我。
Help me a bit	bāng wǒ yīxià .	帮我一下。
She is watching the baby for her friend.	"Tā bāng péngyou kān háizi. (also zai to mean ""now"")"	她帮朋友看孩子。
I have a lot of friends to help me.	wǒ yǒu hěn duō péngyou bāng wǒ .	我有很多朋友帮我。
Then, nobody helped you?	nà méi rén bāng nǐ ma ?	那没人帮你吗？
Please keep speaking.	Qǐng jìxù shuō.	请继续说。
Let us keep working, ok?	Ràng wǒmen jìxù gōngzuò ba.	让我们继续工作吧。
Please continue speaking.	Qǐng nǐ jìxù shuō.	请你继续说。
Carry on!	Jìxù ba!	继续吧！
This is my father.	Zhè shì wǒ de fùqin.	这是我的父亲。
Excuse me, what is your student's name?	Qǐngwèn, nǐ de xuésheng jiào shénme míngzi?	请问,你的学生叫什么名字？
Excuse me, where is the school?	Qǐngwèn, xuéxiào zài nǎli?	请问,学校在哪里？
Excuse me, where can I buy English-language books?	Qǐngwèn, nǎlǐ kěyǐ mǎi Yīngyǔ shū?	请问,哪里可以买英语书？
Excuse me, what kind of job do you do? (polite)	Qǐngwèn nín cóngshì shénme gōngzuò?	请问您从事什么工作？
What are they discussing?	Tāmen zài tán shénme?	他们在谈什么？
